,id,name,last,party,state,Endorsement,Ideology
201,T000469,"Rep. Tonko, Paul [D-NY-21]",Tonko,D,NY,No Endorsement,-0.419
1635,T000326,"Rep. Towns, Edolphus [D-NY-10]",Towns,D,NY,Clinton,-0.519
754,T000465,"Rep. Tsongas, Niki [D-MA-5]",Tsongas,D,MA,No Endorsement,-0.396
1169,T000463,"Rep. Turner, Michael R. [R-OH-3]",Turner,R,OH,No Endorsement,0.276
127,U000031,"Rep. Upton, Fred [R-MI-6]",Upton,R,MI,McCain,0.32
45,V000128,"Rep. Van Hollen, Chris [D-MD-8]",Van Hollen,D,MD,No Endorsement,-0.391
667,V000081,"Rep. Velazquez, Nydia M. [D-NY-12]",Velazquez,D,NY,Clinton,-0.547
1907,V000108,"Rep. Visclosky, Peter J. [D-IN-1]",Visclosky,D,IN,No Endorsement,-0.402
460,W000791,"Rep. Walden, Greg [R-OR-2]",Walden,R,OR,No Endorsement,0.333
8,W000799,"Rep. Walz, Timothy J. [D-MN-1]",Walz,D,MN,No Endorsement,-0.275
195,W000119,"Rep. Wamp, Zach [R-TN-3]",Wamp,R,TN,Thompson,0.428
807,W000797,"Rep. Wasserman Schultz, Debbie [D-FL-20]",Wasserman Schultz,D,FL,Clinton,-0.42
111,W000187,"Rep. Waters, Maxine [D-CA-35]",Waters,D,CA,No Endorsement,-0.656
18,W000794,"Rep. Watson, Diane E. [D-CA-33]",Watson,D,CA,Clinton,-0.531
1696,W000207,"Rep. Watt, Melvin L. [D-NC-12]",Watt,D,NC,Edwards,-0.526
49,W000215,"Rep. Waxman, Henry A. [D-CA-30]",Waxman,D,CA,No Endorsement,-0.473
209,W000792,"Rep. Weiner, Anthony D. [D-NY-9]",Weiner,D,NY,Clinton,-0.408
69,W000800,"Rep. Welch, Peter [D-VT-At Large]",Welch,D,VT,No Endorsement,-0.407
359,W000796,"Rep. Westmoreland, Lynn A. [R-GA-3]",Westmoreland,R,GA,No Endorsement,0.672
86,W000314,"Rep. Wexler, Robert [D-FL-19]",Wexler,D,FL,Obama,-0.392
1084,W000413,"Rep. Whitfield, Ed [R-KY-1]",Whitfield,R,KY,Romney,0.303
355,W000801,"Rep. Wilson, Charles A. [D-OH-6]",Wilson,D,OH,No Endorsement,-0.321
41,W000795,"Rep. Wilson, Joe [R-SC-2]",Wilson,R,SC,No Endorsement,0.53
343,W000804,"Rep. Wittman, Robert J. [R-VA-1]",Wittman,R,VA,No Endorsement,0.446
875,W000672,"Rep. Wolf, Frank R. [R-VA-10]",Wolf,R,VA,No Endorsement,0.284
51,W000738,"Rep. Woolsey, Lynn C. [D-CA-6]",Woolsey,D,CA,Clinton,-0.556
116,W000793,"Rep. Wu, David [D-OR-1]",Wu,D,OR,No Endorsement,-0.37
793,Y000062,"Rep. Yarmuth, John A. [D-KY-3]",Yarmuth,D,KY,No Endorsement,-0.378
899,Y000031,"Rep. Young, C. W. Bill [R-FL-10]",Young,R,FL,Hunter,0.325
144,Y000033,"Rep. Young, Don [R-AK-At Large]",Young,R,AK,Huckabee,0.283
42681,B001261,"Sen. Barrasso, John [R-WY]",Barrasso,R,WY,No Endorsement,0.537
68550,B000243,"Sen. Baucus, Max [D-MT]",Baucus,D,MT,No Endorsement,-2.12
90736,B001265,"Sen. Begich, Mark [D-AK]",Begich,D,AK,No Endorsement,-0.235
15454,B000611,"Sen. Bond, Christopher S. [R-MO]",Bond,R,MO,Giuliani,0.31
31379,B001268,"Sen. Brown, Scott P. [R-MA]",Brown,R,MA,No Endorsement,0.128
40236,B000953,"Sen. Brownback, Sam [R-KS]",Brownback,R,KS,McCain,0.439
50257,B001066,"Sen. Bunning, Jim [R-KY]",Bunning,R,KY,No Endorsement,0.521
68549,C001070,"Sen. Casey, Robert P., Jr. [D-PA]",Casey,D,PA,No Endorsement,-0.314
86641,C000560,"Sen. Coburn, Tom [R-OK]",Coburn,R,OK,No Endorsement,0.782
15455,C000567,"Sen. Cochran, Thad [R-MS]",Cochran,R,MS,Thompson,0.287
86643,C001056,"Sen. Cornyn, John [R-TX]",Cornyn,R,TX,No Endorsement,0.471
42680,C000880,"Sen. Crapo, Mike [R-ID]",Crapo,R,ID,No Endorsement,0.501
86644,D000595,"Sen. DeMint, Jim [R-SC]",Demint,R,SC,Romney,0.7
28171,D000388,"Sen. Dodd, Christopher J. [D-CT]",Dodd,D,CT,Dodd,-0.328
86645,E000194,"Sen. Ensign, John [R-NV]",Ensign,R,NV,No Endorsement,0.508
